fecha;valor,
23/11/2018;10110,8967
24/11/2018;9182,857235
25/11/2018;9073,1825
26/11/2018;10163,98031
27/11/2018;10211,37526
28/11/2018;9997,211988
29/11/2018;10101,58128
30/11/2018;10112,90422
01/12/2018;9111,409676
02/12/2018;8996,818282
03/12/2018;10056,9247
04/12/2018;10005,23592
05/12/2018;9914,94879
06/12/2018;9894,387442
07/12/2018;10057,82801
09/12/2018;9071,85031
10/12/2018;10095,6042
11/12/2018;10009,90196
12/12/2018;9906,835858
13/12/2018;9885,270563
14/12/2018;10125,79544
15/12/2018;9232,799515
16/12/2018;9092,447738
17/12/2018;10204,38051
18/12/2018;10200,6205
19/12/2018;9871,368432
20/12/2018;9985,991673
21/12/2018;10124,74974
22/12/2018;9207,814231
23/12/2018;9132,734807
24/12/2018;9665,435031
25/12/2018;9176,934271
26/12/2018;10524,17078
27/12/2018;10211,27929
28/12/2018;10297,65881
29/12/2018;9302,464818
30/12/2018;9046,538366
31/12/2018;9540,636284
01/01/2019;8702,404573
02/01/2019;10027,60881
03/01/2019;10142,3628
04/01/2019;9831,917288
05/01/2019;8882,148198
06/01/2019;8623,762283
07/01/2019;9840,43428
08/01/2019;9894,493038
09/01/2019;9785,211242
10/01/2019;9965,685339
11/01/2019;9709,594664
12/01/2019;9395,723697
13/01/2019;9305,979495
14/01/2019;9996,374327
15/01/2019;10012,70175
16/01/2019;10004,65345
17/01/2019;9876,457099
18/01/2019;9988,380966
19/01/2019;9145,639846
20/01/2019;8848,62389
21/01/2019;9863,17851
22/01/2019;10076,88051
23/01/2019;10171,17572
24/01/2019;9898,958805
25/01/2019;10058,8434
26/01/2019;9253,46071
27/01/2019;9136,913932
28/01/2019;10096,36595
29/01/2019;10283,61679
30/01/2019;10805,6937
31/01/2019;10727,82396
01/02/2019;10615,65892
02/02/2019;9426,213459
03/02/2019;9179,179437
04/02/2019;10545,67
05/02/2019;10409,27021
06/02/2019;10200,73598
07/02/2019;10407,67663
08/02/2019;10168,2301
09/02/2019;9082,229862
10/02/2019;9076,914263
11/02/2019;10228,91345
12/02/2019;9899,451663
13/02/2019;9866,221881
14/02/2019;10086,46013
15/02/2019;10008,49185
16/02/2019;9317,91557
17/02/2019;9122,97067
18/02/2019;10420,19795
19/02/2019;10281,89656
20/02/2019;10047,6513
21/02/2019;10115,28025
22/02/2019;10078,1404
23/02/2019;9303,155618
24/02/2019;9255,896864
25/02/2019;10046,81474
26/02/2019;10281,31426
27/02/2019;10207,33015
28/02/2019;10282,916
01/03/2019;10305,80154
02/03/2019;9624,574265
03/03/2019;9417,497953
04/03/2019;10253,67373
05/03/2019;10364,79656
06/03/2019;10293,4831
07/03/2019;10275,25443
08/03/2019;10220,95261
09/03/2019;9507,880512
10/03/2019;9322,512215
11/03/2019;10267,27812
12/03/2019;10239,32003
13/03/2019;10235,92035
14/03/2019;10316,53441
15/03/2019;10182,60267
16/03/2019;9437,152008
17/03/2019;9328,210349
18/03/2019;9999,940742
19/03/2019;10060,47163
20/03/2019;10322,34796
21/03/2019;10108,69073
22/03/2019;10203,43858
23/03/2019;9344,523507
24/03/2019;9218,169846
25/03/2019;10115,70575
26/03/2019;10159,80666
27/03/2019;9897,927146
28/03/2019;10077,46583
29/03/2019;9999,62931
30/03/2019;9202,280432
31/03/2019;8954,550342
01/04/2019;9571,81721
02/04/2019;9831,17291
03/04/2019;9572,356935
04/04/2019;9618,59933
05/04/2019;9497,846125
06/04/2019;9173,302328
07/04/2019;9081,898204
08/04/2019;9570,336515
09/04/2019;9562,55687
10/04/2019;9550,928827
11/04/2019;9654,639403
12/04/2019;9481,698945
13/04/2019;9072,328553
14/04/2019;8893,835198
15/04/2019;9624,685138
16/04/2019;9725,357914
17/04/2019;9559,458846
18/04/2019;9683,308984
19/04/2019;8807,709838
20/04/2019;9006,792848
21/04/2019;9202,54063
22/04/2019;9884,104944
