fecha;sistema;dmin_mw;dmax_mw,,
16/08/2006;SIC;3638,35;5458,83
16/08/2006;SING;1380,54;1498,34
17/08/2006;SIC;3856,49;5330,0
17/08/2006;SING;1349,91;1449,75
18/08/2006;SIC;3827,20;5367,48
18/08/2006;SING;1192,35;1344,27
19/08/2006;SIC;3851,13;5121,57
19/08/2006;SING;1257,22;1508,27
20/08/2006;SIC;3299,77;4983,15
20/08/2006;SING;1401,30;1560,12
21/08/2006;SIC;3572,19;5232,3
21/08/2006;SING;1414,62;1534,18
22/08/2006;SIC;3849,65;5178,66
22/08/2006;SING;1436,85;1509,36
23/08/2006;SIC;3853,85;5320,98
23/08/2006;SING;1390,89;1537,52
24/08/2006;SIC;3749,37;5363,33
24/08/2006;SING;1390,88;1568,72
25/08/2006;SIC;3774,87;5394,43
25/08/2006;SING;1420,41;1541,67
26/08/2006;SIC;3662,12;5086,75
26/08/2006;SING;1427,65;1568,61
27/08/2006;SIC;3242,29;4962,37
27/08/2006;SING;1431,70;1582,14
28/08/2006;SIC;3529,76;5226,55
28/08/2006;SING;1426,22;1539,59
29/08/2006;SIC;3792,69;5478,95
29/08/2006;SING;1452,24;1549,15
30/08/2006;SIC;3777,61;5493,75
30/08/2006;SING;1211,33;1482,75
31/08/2006;SIC;3825,94;5437,70
31/08/2006;SING;1397,25;1546,78
01/09/2006;SIC;3893,51;5334,93
01/09/2006;SING;1402,81;1512,1
02/09/2006;SIC;3859,54;5180,79
02/09/2006;SING;1419,20;1498,17
03/09/2006;SIC;3315,78;5007,30
03/09/2006;SING;1399,92;1563,31
04/09/2006;SIC;3585,84;5308,62
04/09/2006;SING;1262,36;1501,69
05/09/2006;SIC;3893,01;5293,0
05/09/2006;SING;1336,40;1465,81
06/09/2006;SIC;3860,92;5491,23
06/09/2006;SING;1147,75;1432,79
07/09/2006;SIC;3865,98;5325,43
07/09/2006;SING;1337,41;1483,39
08/09/2006;SIC;3859,27;5318,64
08/09/2006;SING;1385,17;1617,79
09/09/2006;SIC;3887,30;5170,84
09/09/2006;SING;1509,28;1630,71
10/09/2006;SIC;3297,73;5049,53
10/09/2006;SING;1475,94;1633,42
11/09/2006;SIC;3597,42;5442,30
11/09/2006;SING;1489,97;1583,22
12/09/2006;SIC;3686,14;5366,9
12/09/2006;SING;1460,39;1596,84
13/09/2006;SIC;3809,52;5294,44
13/09/2006;SING;1438,22;1576,61
14/09/2006;SIC;3869,39;5094,96
14/09/2006;SING;1483,50;1604,41
15/09/2006;SIC;3843,72;5170,95
15/09/2006;SING;1507,57;1607,7
16/09/2006;SIC;3736,76;5009,0
16/09/2006;SING;1498,09;1592,90
17/09/2006;SIC;3281,56;4625,85
17/09/2006;SING;1195,60;1577,66
18/09/2006;SIC;3077,14;4476,55
18/09/2006;SING;1258,28;1378,0
19/09/2006;SIC;3026,06;4700,24
19/09/2006;SING;1256,75;1400,50
20/09/2006;SIC;3383,14;5153,0
20/09/2006;SING;1309,49;1592,84
21/09/2006;SIC;3771,12;5253,78
21/09/2006;SING;1508,33;1674,65
22/09/2006;SIC;3785,69;5263,31
22/09/2006;SING;1528,40;1660,23
23/09/2006;SIC;3760,18;5052,59
23/09/2006;SING;1540,80;1652,83
24/09/2006;SIC;3232,73;4955,55
24/09/2006;SING;1515,74;1665,23
25/09/2006;SIC;3613,70;5223,52
25/09/2006;SING;1514,38;1648,35
26/09/2006;SIC;3917,21;5426,59
26/09/2006;SING;1515,31;1612,86
27/09/2006;SIC;3914,41;5259,22
27/09/2006;SING;1502,56;1598,15
28/09/2006;SIC;3847,07;5281,93
28/09/2006;SING;1490,36;1607,49
29/09/2006;SIC;3878,04;5281,62
29/09/2006;SING;1464,57;1629,80
30/09/2006;SIC;3873,01;5081,91
30/09/2006;SING;1517,61;1613,24
01/10/2006;SIC;3259,88;5012,19
01/10/2006;SING;1089,58;1300,14
02/10/2006;SIC;3537,23;5687,55
02/10/2006;SING;1080,14;1168,19
03/10/2006;SIC;3771,83;5781,99
03/10/2006;SING;1042,29;1157,76
04/10/2006;SIC;3739,85;5676,49
04/10/2006;SING;1001,07;1167,13
05/10/2006;SIC;3702,02;5662,18
05/10/2006;SING;1050,11;1119,66
06/10/2006;SIC;3656,31;5554,79
06/10/2006;SING;995,81;1148,29
07/10/2006;SIC;3637,50;5267,30
07/10/2006;SING;950,27;1152,26
08/10/2006;SIC;3199,31;4920,29
08/10/2006;SING;1076,85;1256,58
09/10/2006;SIC;3213,20;5160,75
09/10/2006;SING;1154,36;1278,76
10/10/2006;SIC;3531,84;5767,39
10/10/2006;SING;1126,94;1296,84
11/10/2006;SIC;3817,02;5865,89
11/10/2006;SING;1223,93;1347,33
12/10/2006;SIC;3803,38;5742,46
12/10/2006;SING;1057,65;1317,12
13/10/2006;SIC;3833,12;5797,38
13/10/2006;SING;1095,50;1179,90
14/10/2006;SIC;3645,19;5308,58
14/10/2006;SING;1120,68;1224,5
15/10/2006;SIC;3175,75;5059,70
15/10/2006;SING;1102,98;1208,2
16/10/2006;SIC;3547,57;5605,28
16/10/2006;SING;1116,35;1195,64
17/10/2006;SIC;3758,42;5661,72
17/10/2006;SING;1098,45;1174,15
18/10/2006;SIC;3734,24;5674,53
18/10/2006;SING;1037,99;1177,99
19/10/2006;SIC;3795,37;5730,8
19/10/2006;SING;1046,16;1167,75
20/10/2006;SIC;3880,56;5653,83
20/10/2006;SING;1069,15;1213,48
21/10/2006;SIC;3833,07;5280,86
21/10/2006;SING;955,78;1196,77
22/10/2006;SIC;3354,30;5116,52
22/10/2006;SING;952,11;1138,57
23/10/2006;SIC;3618,92;5746,23
23/10/2006;SING;1045,26;1116,60
24/10/2006;SIC;3921,73;5755,95
24/10/2006;SING;982,74;1098,92
25/10/2006;SIC;3938,20;5679,65
25/10/2006;SING;933,62;1081,4
26/10/2006;SIC;3833,65;5598,35
26/10/2006;SING;976,84;1067,44
27/10/2006;SIC;3815,48;5594,39
27/10/2006;SING;1050,27;1132,3
28/10/2006;SIC;3829,60;5261,9
28/10/2006;SING;1038,66;1137,86
29/10/2006;SIC;3221,99;5026,30
29/10/2006;SING;1024,47;1166,53
30/10/2006;SIC;3562,55;5623,88
30/10/2006;SING;939,91;1128,21
31/10/2006;SING;882,80;1047,95
01/11/2006;SIC;3355,60;5103,40
01/11/2006;SING;1271,45;1538,96
02/11/2006;SIC;3623,11;5541,19
02/11/2006;SING;1223,71;1506,14
03/11/2006;SIC;3811,96;5568,90
03/11/2006;SING;1383,42;1603,24
04/11/2006;SIC;3753,60;5184,0
04/11/2006;SING;1501,62;1638,66
05/11/2006;SIC;3283,28;5042,59
05/11/2006;SING;1513,11;1615,38
06/11/2006;SIC;3521,87;5651,18
06/11/2006;SING;1471,50;1573,49
07/11/2006;SIC;3857,74;5721,69
07/11/2006;SING;1474,63;1560,99
08/11/2006;SIC;3903,33;5731,53
08/11/2006;SING;1313,19;1536,14
09/11/2006;SIC;3906,58;5726,16
09/11/2006;SING;1360,15;1573,42
10/11/2006;SIC;3880,57;5681,39
10/11/2006;SING;1470,31;1598,48
11/11/2006;SIC;3873,50;5234,86
11/11/2006;SING;1481,60;1646,31
12/11/2006;SIC;3212,82;5054,84
12/11/2006;SING;1448,77;1605,17
13/11/2006;SIC;3578,27;5698,6
13/11/2006;SING;1455,02;1552,66
14/11/2006;SIC;3862,41;5676,62
14/11/2006;SING;1451,29;1550,57
15/11/2006;SIC;3801,07;5729,69
15/11/2006;SING;1451,87;1527,38
16/11/2006;SIC;3840,89;5649,14
16/11/2006;SING;1459,46;1561,88
17/11/2006;SIC;3850,87;5511,34
17/11/2006;SING;1454,32;1552,58
18/11/2006;SIC;3839,24;5159,24
18/11/2006;SING;1424,94;1595,51
19/11/2006;SIC;3277,38;5091,49
19/11/2006;SING;1455,24;1598,85
20/11/2006;SIC;3651,93;5714,2
20/11/2006;SING;1454,03;1559,46
21/11/2006;SIC;3947,11;5787,27
21/11/2006;SING;1328,91;1478,30
22/11/2006;SIC;3969,53;5735,83
22/11/2006;SING;1409,32;1550,55
23/11/2006;SIC;3940,01;5755,9
23/11/2006;SING;1427,18;1558,5
24/11/2006;SIC;3983,59;5686,81
24/11/2006;SING;1434,40;1552,10
25/11/2006;SIC;3900,96;5310,28
25/11/2006;SING;1510,42;1656,36
26/11/2006;SIC;3359,77;5111,37
26/11/2006;SING;1547,41;1702,47
27/11/2006;SIC;3694,93;5732,78
27/11/2006;SING;1577,28;1658,34
28/11/2006;SIC;3988,52;5841,99
28/11/2006;SING;1563,29;1646,20
29/11/2006;SIC;3990,40;5796,0
29/11/2006;SING;1568,16;1647,36
30/11/2006;SIC;3937,91;5742,59
30/11/2006;SING;1564,05;1658,1
01/12/2006;SIC;3966,31;5561,77
01/12/2006;SING;1502,25;1621,19
02/12/2006;SIC;3859,55;5354,48
02/12/2006;SING;1517,82;1626,66
03/12/2006;SIC;3306,54;5105,51
03/12/2006;SING;1464,32;1582,51
04/12/2006;SIC;3676,14;5780,20
04/12/2006;SING;1420,71;1585,13
05/12/2006;SIC;3989,19;5774,25
05/12/2006;SING;1423,46;1564,3
06/12/2006;SIC;3973,17;5771,81
06/12/2006;SING;1454,97;1548,41
