fecha;hidro;termo;ernc;total,,,,
04/04/2017;37141,9;91775,88;23787,22;152705,
05/04/2017;36179,6;89432,88;25227,52;150840,
06/04/2017;35347,6;88611,68;25122,72;149082,
07/04/2017;35667,6;87255,68;25561,72;148485,
08/04/2017;29811,4;82269,68;28335,92;140417,
09/04/2017;28089,4;77494,21;25813,39;131397,
10/04/2017;35217,4;89165,19;23176,41;147559,
11/04/2017;39360,4;88600,58;21607,02;149568,
12/04/2017;36352,4;93662,78;19027,82;149043,
13/04/2017;35555,4;94007,58;19377,02;148940,
14/04/2017;35790,4;70139,38;20293,22;126223,
15/04/2017;29768,4;72927,68;22762,92;125459,
16/04/2017;30688,4;76614,68;22099,92;129403,
17/04/2017;32784,4;89958,98;22475,62;145219,
18/04/2017;38201,25;90040,68;20675,07;148917,
19/04/2017;22427,25;81990,26;20233,49;124651,
20/04/2017;31414,25;92347,53;23023,22;146785,
21/04/2017;29800;92913,19;26308,81;149022,,
22/04/2017;28693;86336,02;26233,98;141263,,
23/04/2017;25387,25;77908,6;25614,15;128910,
24/04/2017;30821,25;90286,7;27799,05;148907,
25/04/2017;31201;88832,06;28782,94;148816,,
26/04/2017;33865;87975,81;27206,19;149047,,
27/04/2017;36581;92805,88;21253,12;150640,,
28/04/2017;34050;95964,73;20688,27;150703,,
29/04/2017;29668;85313,83;21898,17;136880,,
30/04/2017;27171;85334,34;18769,66;131275,,
01/05/2017;21544;80798,02;20421,98;122764,,
02/05/2017;36732;89314,83;22897,17;148944,,
03/05/2017;41825;84896,88;25900,12;152622,,
04/05/2017;40708;88130,88;19565,12;148404,,
05/05/2017;37902;92565,05;20856,95;151324,,
06/05/2017;31442;84910,05;26118,95;142471,,
07/05/2017;23814,6;79367,73;25724,67;128907,
08/05/2017;34715,6;92930,88;20954,52;148601,
09/05/2017;37523,6;95468,88;21743,52;154736,
10/05/2017;36142;92206,88;26049,12;154398,,
11/05/2017;34129,6;89567,62;31718,78;155416,
12/05/2017;30942,6;96444,68;28493,72;155881,
13/05/2017;32270,75;93726,72;26551,53;152549,
14/05/2017;28343,6;85408,51;23227,89;136980,
15/05/2017;30473,6;95596,34;23994,06;150064,
16/05/2017;32639,2;95535,83;21448,97;149624,
17/05/2017;33213,2;96849,97;19560,83;149624,
18/05/2017;40978,4;90865,29;20111,31;151955,
19/05/2017;34022,4;94180,8;27658,8;155862,
20/05/2017;30803,8;83465,88;22678,32;136948,
21/05/2017;24160,8;81762,9;23798,3;129722,
22/05/2017;32463,4;93598,2;22262,4;148324,
23/05/2017;37065;96488,03;22430,97;155984,,
24/05/2017;40742,8;98632,68;20768,52;160144,
25/05/2017;40120,4;96910,68;22575,92;159607,
26/05/2017;39926;98141,52;22371,48;160439,,
27/05/2017;36088,4;83419,35;24439,25;143947,
28/05/2017;25475,4;87820,5;21394,1;134690,
29/05/2017;35821;102099,96;19687,04;157608,,
30/05/2017;37561,6;92479,84;24182,56;154224,
31/05/2017;34825,8;93497,5;26493,7;154817,
01/06/2017;34701,3;92904,34;27652,36;155258,
02/06/2017;31659,6;97506,02;24961,38;154127,
03/06/2017;30657,6;83927,36;28947,04;143532,
04/06/2017;20348,2;85070,79;27763,01;133182,
05/06/2017;28231,6;97513,01;26958,39;152703,
06/06/2017;26405,9;102032,68;24125,42;152564,
07/06/2017;33092,2;104332,02;20778,78;158203,
08/06/2017;35156,65;99079,36;27688,99;161925,
09/06/2017;26225,7;102818,02;29788,28;158832,
10/06/2017;27553,9;94629,01;24424,09;146607,
11/06/2017;27071,7;88966,02;20890,28;136928,
12/06/2017;33876,2;100636,02;22155,78;156668,
13/06/2017;34900,8;100253,02;21456,18;156610,
14/06/2017;33069;102003,75;24153,25;159226,,
15/06/2017;29308,4;102635,86;28378,74;160323,
16/06/2017;33497,5;98098,96;32967,54;164564,
17/06/2017;34103;86371,2;27697,8;148172,,
18/06/2017;30370,6;78801,75;28966,65;138139,
19/06/2017;33522,8;102793,07;25248,13;161564,
20/06/2017;34638,2;105367,35;23722,45;163728,
21/06/2017;49385,8;88849,52;28158,68;166394,
22/06/2017;60421;81853,36;24567,64;166842,,
23/06/2017;60934,8;82381,85;22046,35;165363,
24/06/2017;45456,5;69473,35;31140,15;146070,
25/06/2017;48755;57926,01;32306,99;138988,,
26/06/2017;59047,6;52830,68;28518,72;140397,
27/06/2017;60882,6;79008,3;23555,1;163446,
28/06/2017;55876,4;83640,3;25230,3;164747,
29/06/2017;61154;71741,36;27021,64;159917,,
30/06/2017;62280,8;72053,36;24940,84;159275,
01/07/2017;55875,6;69958,12;19593,28;145427,
02/07/2017;47315;67782,12;20060,88;135158,,
03/07/2017;60874,2;75687,12;21251,68;157813,
04/07/2017;68728,4;69663,86;25374,74;163767,
05/07/2017;68317;68273,24;28161,76;164752,,
06/07/2017;62184;74516,24;26281,76;162982,,
07/07/2017;60489,8;74542,96;27078,24;162111,
08/07/2017;54515,1;68483,96;27428,94;150428,
09/07/2017;35974;71658,96;29632,04;137265,,
10/07/2017;48953,1;80828,96;29617,94;159400,
11/07/2017;50953,9;85730,96;22922,14;159607,
12/07/2017;49292,2;86222,96;25898,84;161414,
13/07/2017;50061,2;86248,96;26861,84;163172,
